,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
7107,2185511,1843,57,5,7,JP,,,
7108,2185607,0,3,17,0,KR,,,
7109,2185646,2,11,24,0,TR,,,
7110,2185657,9801,251,22,3,IL,,,
7111,2185683,0,8,17,0,KR,,,
7112,2185969,4,14,18,6,VN,,,
7113,2186002,9,3,59,3,JP,,,
7114,2186014,112,18,18,1,JP,,,
7115,2186130,2,13,63,1,KR,,,
7116,2186162,9,14,31,0,JP,,,
7117,2186218,0,2,11,0,JP,,,
7118,2186227,3,19,12,8,JP,,,
7119,2186229,0,3,15,0,JP,,,
7120,2186230,1,6,12,0,JP,,,
7121,2186231,6,5,11,5,JP,322.0,213.0,8698.0
7122,2186246,130,6,6,428,JP,,,
7123,2186247,10,34,38,2,JP,,,
7124,2186248,0,2,42,0,JP,,,
7125,2186249,0,7,10,3,JP,,,
7126,2186260,10,0,17,0,JP,,,
7127,2186284,3,9,14,3,JP,,,
7128,2186407,0,1,12,11,JP,,,
7129,2186433,108,5,59,10,KR,,,
7130,2186460,1,3,15,40,KR,,,
7131,2187215,22,2,60,3,TH,,,
7132,2187551,0,0,6,0,TH,,,
7133,2187567,0,3,58,58,IL,,,
7134,2187639,1935,20,67,17,IL,,,
7135,2187670,2,3,14,0,KR,,,
7136,2187678,6,6,19,4,JP,,,
7137,2187688,20,16,39,28,JP,,,
7138,2187714,339,13,66,1,CN,,,
7139,2187787,0,0,54,0,JP,,,
7140,2187867,10,13,16,0,JP,,,
7141,2187907,655,14,75,11,IL,,,
7142,2187946,0,3,20,15,JP,,,
7143,2187971,0,4,57,3,TH,,,
7144,2187992,0,8,28,228,TH,,,
7145,2187994,2,2,9,0,JP,,,
7146,2188002,0,1,15,8,TH,,,
7147,2188018,34,5,12,11,JP,,,
7148,2188021,0,4,13,24,TH,,,
7149,2188023,20,60,119,0,TH,,,
7150,2188031,0,1,57,0,TH,,,
7151,2188033,15,7,65,27,TH,,,
7152,2188590,0,3,58,2,JP,,,
7153,2188687,0,3,8,0,TR,,,
7154,2188872,34,8,17,34,JP,,,
7155,2188908,0,9,20,0,JP,,,
7156,2188986,50,6,15,0,JP,,,
7157,2188988,1,6,25,1,JP,,,
7158,2189138,0,7,58,1,TH,,,
7159,2189143,0,3,75,0,TH,,,
7160,2189523,0,4,26,1,JP,,,
7161,2189578,0,15,16,0,JP,,,
7162,2189631,1,18,25,2,TH,,,
7163,2189685,633,36,42,0,CN,,,
7164,2189897,265,15,15,38,KR,,,
7165,2189899,12,9,89,4,TH,,,
7166,2189928,0,8,9,1,KR,,,
7167,2190205,6101,290,260,139,TH,,,
7168,2190222,18,11,70,0,ID,,,
7169,2190253,172,9,96,87,TH,,,
7170,2190258,0,2,4,3,TH,,,
7171,2190261,4,2,6,4,TH,,,
7172,2190275,47,18,26,0,JP,,,
7173,2190617,0,8,23,0,JP,,,
7174,2190839,0,2,57,0,TH,,,
7175,2191321,4,2,11,0,JP,,,
7176,2191323,0,3,13,0,JP,,,
7177,2191326,0,1,13,1,JP,,,
7178,2191348,31,9,8,2,JP,,,
7179,2191353,5,7,30,19,JP,,,
7180,2191384,2,6,15,0,JP,,,
7181,2191397,7107,437,271,31,JP,,,
7182,2191403,174,2,13,16,JP,,,
7183,2191404,0,4,3,0,JP,,,
7184,2191406,1258,24,67,40,JP,,,
7185,2191410,5,2,10,0,JP,,,
