,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
160,58312,3661,360,181,393,BR,,,
161,58319,156,10,22,151,BR,,,
162,58395,2,10,42,1,BR,,,
163,58411,0,4,61,1,BR,,,
164,58426,0,3,56,0,BR,,,
165,58918,514,9,9,92,BR,31.0,7.0,18.0
166,62099,353,71,265,289,BR,178.0,27.0,39.0
167,62114,254,14,26,0,BR,,,
168,62619,2,8,10,21,BR,,,
169,62658,12,11,65,5,BR,,,
170,62790,0,16,11,1,BR,,,
171,62824,1326,46,49,7,BR,,,
172,62905,1,14,55,2,BR,,,
173,63392,0,4,3,0,BR,,,
174,64278,2,29,82,0,BR,,,
175,64336,0,8,51,0,BR,,,
176,64339,95,1,60,30,BR,,,
177,64349,120,14,148,102,BR,,,
178,64357,21,16,59,20,BR,,,
179,64557,10,20,68,0,BR,,,
180,64710,3,27,85,1,BR,,,
181,64713,3,8,27,0,BR,,,
182,65526,0,5,61,2,BR,,,
183,66010,1,5,15,6,BR,,,
184,66130,8,15,41,19,BR,,,
185,66189,12659,245,2517,18,BR,,,
186,66364,0,20,58,0,BR,,,
187,66411,4,11,13,0,BR,,,
188,66688,256,150,292,26,BR,1480.0,1641.0,29240.0
189,67113,6,11,15,24,BR,,,
190,67288,1589,61,25,1131,BR,,,
191,67309,495,16,213,144,BR,,,
192,67378,14,7,79,15,BR,,,
193,67619,0,1,11,0,BR,,,
194,69456,2,4,9,5,AR,,,
195,69511,0,2,5,0,AR,,,
196,69541,70,156,214,4,AR,,,
197,69571,0,1,14,0,AR,,,
198,70671,4,16,1,0,CL,,,
199,70900,0,25,0,0,BR,,,
200,70914,0,3,10,0,AR,,,
201,71404,288,27,199,30,BR,,,
202,71514,1,7,69,4,BR,,,
203,71918,0,4,12,0,BR,,,
204,72181,10,5,68,4,BR,,,
205,72217,4,10,42,2,BR,,,
206,72823,0,2,58,3,BR,,,
207,72837,0,11,163,1,AR,,,
208,73668,0,6,57,0,BR,,,
209,74428,6,10,68,35,BR,,,
210,74429,8,2,25,10,BR,,,
211,74676,4,7,15,0,BR,,,
212,77035,0,23,74,0,CL,,,
213,78819,0,22,16,0,BR,,,
214,79093,291,26,25,39,BR,,,
215,79719,78,12,35,91,BR,,,
216,79745,17,17,6,0,BR,,,
217,79746,112,42,29,27,BR,,,
218,80544,2,12,4,1,BR,,,
219,80548,0,10,62,0,BR,,,
220,82627,0,4,72,2,AR,,,
221,83228,729,24,157,29,BR,,,
222,83351,1052,93,114,396,BR,160.0,174.0,6101.0
223,83476,105,15,40,15,BR,,,
224,83478,0,12,78,0,BR,,,
225,83777,57,9,161,128,BR,,,
226,83801,0,25,104,7,BR,,,
227,83811,58,13,104,12,BR,,,
228,83870,21,14,17,1,BR,,,
229,83918,37,7,23,63,BR,,,
230,83931,11,4,1,21,BR,,,
231,83997,16,2,18,4,BR,365.0,182.0,439.0
232,84093,60,28,119,135,BR,,,
233,84208,49,50,15,35,BR,95.0,75.0,774.0
234,84226,408,188,140,252,BR,,,
235,84631,0,8,54,0,BR,,,
236,84637,0,26,47,2,BR,,,
237,85077,8,10,13,0,BR,,,
238,85098,0,0,1,1,BR,,,
239,85377,24,40,175,37,BR,,,
240,85651,1,25,19,0,BR,,,
241,85785,29,17,30,9,BR,,,
242,85801,0,6,4,1,BR,,,
243,85898,164,59,199,11,BR,,,
244,86014,2,7,3,2,BR,,,
245,86042,1,12,80,0,BR,,,
246,86050,0,4,60,0,BR,,,
247,86652,0,11,78,1,BR,,,
248,86726,0,11,10,0,BR,,,
249,86731,0,6,2,0,BR,,,
250,86734,1,2,12,0,BR,,,
251,86735,0,42,82,7,BR,,,
252,86737,52,14,47,40,BR,,,
253,86989,549,31,149,146,BR,,,
254,87007,6,20,10,9,BR,,,
255,87113,0,36,73,10,CO,,,
256,87134,2,6,79,0,BR,,,
257,87155,42,61,280,20,BR,1998.0,830.0,7546.0
258,87166,0,9,11,10,BR,,,
259,87176,7,7,54,3,BR,,,
260,87227,3,3,2,5,BR,,,
261,87260,2615,351,109,122,AR,,,
262,87412,0,5,15,0,BR,,,
263,87644,16,9,71,13,BR,,,
264,87669,0,6,4,0,BR,181.0,85.0,751.0
265,87710,329,28,185,4,BR,,,
266,87998,0,9,68,2,BR,,,
267,88017,2,11,33,1,BR,,,
268,88021,0,6,51,0,BR,,,
269,88041,0,4,38,1,BR,,,
270,88071,862,30,225,349,BR,,,
271,88086,3,10,1,1,BR,,,
272,88103,0,3,1,0,BR,,,
273,88134,121,16,152,17,BR,,,
274,88153,0,13,62,1,BR,,,
275,88381,0,17,71,0,BR,,,
276,88537,0,14,75,7,BR,,,
277,88541,229,65,234,182,BR,,,
278,88636,34,9,63,1,BR,,,
279,88640,9,10,63,3,BR,,,
280,88679,28,4,15,28,BR,,,
281,88706,0,11,11,5,BR,,,
282,88853,18,2,10,5,BR,255.0,174.0,5581.0
283,88918,233,79,166,5,BR,,,
284,89307,1316,57,116,607,BR,,,
285,89396,0,3,1,0,BR,,,
286,89463,122,19,66,69,BR,,,
287,89485,0,10,19,24,BR,,,
288,89620,253,27,7,0,BR,,,
289,89689,101,10,11,136,BR,,,
290,89704,0,6,2,3,BR,,,
291,89735,0,27,0,0,BR,,,
292,89752,2,9,4,3,BR,,,
293,89774,0,10,97,0,BR,320.0,59.0,132.0
294,89781,0,52,107,8,BR,,,
295,90077,11,6,59,7,BR,,,
296,90136,0,19,0,0,BR,,,
297,90173,91,17,62,67,BR,,,
298,90181,10647,1187,227,9193,BR,,,
299,90324,2,1,60,1,BR,,,
300,90349,12,3,2,2,BR,,,
301,90351,0,8,62,0,BR,,,
302,90354,4,48,59,0,BR,42.0,15.0,7.0
303,90559,23,5,52,9,BR,,,
304,90584,61,5,77,72,BR,,,
305,90617,0,5,0,1,BR,,,
306,90622,0,5,33,0,BR,,,
307,90623,21,9,7,3,BR,,,
308,90626,389,59,250,4,BR,,,
309,90630,113,11,67,3,BR,,,
310,90635,862,316,66,87,BR,,,
311,90652,147,11,58,0,BR,,,
312,90658,137,16,63,6,BR,,,
313,90659,80,1,1,6,BR,,,
314,90671,2,8,18,20,BR,,,
315,90808,281,13,83,566,BR,,,
316,90889,6,33,159,319,BR,,,
317,91075,334,36,185,2,BR,,,
318,91090,42,3,64,1,BR,,,
319,91093,28,3,12,1,BR,,,
320,91111,6,9,18,15,BR,,,
321,91521,0,7,61,2,BR,,,
322,91914,14765,4827,81,1727,BR,,,
323,92165,0,2,65,0,BR,,,
324,92240,1,4,10,1,BR,,,
325,92294,0,1,53,4,BR,,,
326,92298,33,5,62,11,BR,,,
327,92301,0,6,60,2,BR,,,
328,92384,302,17,26,49,BR,,,
329,92484,152,21,58,2,BR,,,
330,92610,96,27,90,16,BR,,,
331,92837,11,4,59,2,BR,,,
332,92840,1,5,65,5,BR,,,
333,92867,1,7,60,0,BR,,,
334,92872,1,7,10,40,BR,,,
335,92873,138,32,42,76,BR,,,
336,92879,0,5,26,0,BR,,,
337,92881,0,2,57,3,BR,,,
338,92884,0,13,63,0,BR,,,
339,92893,1111,285,189,15,BR,,,
340,92895,7,6,5,1,BR,,,
341,92899,0,11,71,24,BR,,,
342,92900,111,14,15,8,BR,134.0,126.0,4314.0
343,92910,242,26,15,6,BR,,,
344,92914,377,37,32,63,BR,,,
345,93119,0,5,69,0,BR,,,
346,93386,27,12,3,0,BR,,,
347,93487,0,6,16,1,BR,,,
348,93544,0,16,56,0,BR,,,
349,93551,1,14,86,0,BR,,,
350,93552,84,12,88,54,BR,,,
351,93850,0,5,14,9,BR,,,
352,93886,1,2,4,1,BR,,,
353,93968,3,14,62,0,BR,,,
354,94025,4996,847,631,4,BR,,,
355,94060,7,5,65,1,BR,,,
356,94158,0,4,4,0,BR,,,
357,94210,28,6,0,0,BR,,,
358,94476,18,7,93,0,BR,,,
359,94512,223,11,79,1,BR,,,
360,94536,315,34,75,6,BR,,,
361,94640,0,4,0,0,BR,,,
362,94690,42,10,13,41,BR,,,
363,96272,9,10,13,4,BR,,,
364,96580,2,4,10,2,BR,,,
365,96613,21,17,16,5,BR,243.0,742.0,3104.0
366,96759,16,4,7,0,BR,,,
367,96808,2,26,20,0,BR,,,
368,96837,3333,248,80,157,BR,150.0,81.0,112.0
369,96959,198,6,25,70,BR,,,
370,97343,2,1,14,3,BR,,,
371,97396,2,3,16,2,BR,,,
372,98187,0,8,0,0,BR,,,
373,98656,34,8,21,55,BR,,,
374,98725,11,33,44,80,BR,,,
375,98728,0,10,47,1,BR,,,
376,98742,0,2,54,1,BR,,,
377,99509,7,14,22,17,BR,,,
378,100215,1553,18,25,346,BR,,,
379,100281,654,44,124,4,BR,,,
380,100347,624,67,559,301,BR,,,
381,100366,4,9,21,5,BR,,,
382,100515,1,2,59,5,BR,,,
383,100517,0,0,74,0,BR,63.0,6.0,27.0
384,100534,861,44,247,1226,BR,,,
385,100755,23,11,24,1,BR,,,
386,100794,0,37,2,4,BR,,,
387,100809,218,23,107,5,BR,,,
388,100826,0,4,11,1,BR,,,
389,100965,2,6,12,7,BR,,,
390,100984,3,7,57,0,BR,,,
391,101046,0,24,48,1,BR,,,
392,101881,0,4,15,2,BR,,,
393,102670,40,3,56,0,BR,,,
394,103383,3,12,7,4,BR,,,
395,103831,28,7,9,0,BR,,,
396,103856,20,7,62,0,BR,,,
397,103858,0,4,58,0,BR,,,
398,103860,12,6,60,1,BR,,,
399,104733,252,25,60,0,BR,,,
400,104774,81,34,8,11,BR,,,
401,104912,4,4,51,12,BR,,,
402,104917,109,8,69,12,BR,,,
403,104925,0,28,0,0,BR,,,
404,104926,6,8,18,4,BR,,,
405,104927,661,44,143,84,BR,,,
406,104928,0,9,7,1,BR,,,
407,104931,4,5,8,1,BR,,,
408,104933,508,27,2,1,BR,,,
409,104935,0,19,60,0,BR,,,
410,104936,0,31,42,0,BR,,,
411,104937,1,12,73,3,BR,,,
412,104939,225,29,83,21,BR,,,
413,104940,0,7,54,0,BR,,,
414,104942,6149,944,417,79,BR,,,
415,104949,1138,22,26,15,BR,,,
416,104950,0,17,101,0,BR,,,
417,104954,10,21,88,8,BR,277.0,102.0,403.0
418,104956,65,11,54,63,BR,,,
419,104958,79,13,9,24,BR,,,
420,104961,144,14,30,17,BR,,,
421,104967,46,8,61,15,BR,,,
422,104972,1,7,15,1,BR,,,
423,104975,0,9,13,5,BR,,,
424,104976,199,28,69,307,BR,,,
425,104986,7,2,54,7,BR,,,
426,104990,25,12,55,4,BR,,,
427,104991,3,1,50,0,BR,,,
428,104993,0,41,46,12,BR,,,
429,104994,0,3,44,1,BR,,,
430,104998,0,3,93,36,BR,,,
431,105000,55,18,21,0,BR,,,
432,105001,640,24,196,502,BR,,,
433,105004,0,4,55,0,BR,,,
434,105014,66,18,102,8,BR,,,
435,105024,0,3,57,1,BR,,,
436,105025,0,5,69,0,BR,,,
437,105028,0,7,20,9,BR,,,
438,105030,3,6,11,5,BR,,,
439,105031,0,8,79,1,BR,,,
440,105032,3,4,55,4,BR,,,
441,105034,2826,197,105,32,BR,,,
442,105037,0,11,4,0,BR,,,
443,105039,9,26,25,3,BR,,,
444,105040,0,0,43,14,BR,,,
445,105046,7,26,53,0,BR,,,
446,105048,14,19,55,1,BR,,,
447,105052,87,15,87,177,BR,,,
448,105054,9,23,118,0,BR,,,
449,105055,46,19,14,0,BR,,,
450,105056,0,13,92,3,BR,,,
451,105067,0,5,54,0,BR,,,
452,105068,851,132,114,371,BR,,,
453,105069,0,7,86,1,BR,,,
454,105073,244,23,76,158,BR,,,
455,105078,4,12,92,47,BR,,,
456,105082,15,9,31,16,BR,,,
457,105088,0,12,84,1,BR,,,
458,105092,3,5,7,0,BR,,,
459,105095,0,6,2,1,BR,,,
460,105097,3714,340,4988,3665,BR,,,
461,105100,18,21,19,36,BR,,,
462,105103,25,15,3,2,BR,,,
463,105107,11,17,48,10,BR,30.0,23.0,72.0
464,105108,1,14,7,0,BR,,,
465,105111,12,7,70,2,BR,,,
466,105113,97,9,65,1,BR,,,
467,105114,3,25,111,0,BR,,,
468,105128,0,6,16,0,BR,,,
469,105130,27,25,20,42,BR,,,
470,105131,2,23,135,185,BR,,,
471,105224,0,6,1,0,BR,,,
472,105558,982,69,148,38,BR,,,
473,106970,9,10,79,0,BR,,,
474,107971,8,23,19,0,BR,,,
475,107982,163,25,81,0,BR,,,
476,108144,0,6,32,0,BR,,,
477,108170,0,2,57,4,BR,,,
478,109073,73,18,118,93,AR,,,
479,109141,0,28,78,1,BR,,,
480,109269,1,3,2,1,AR,1973.0,288.0,3732.0
481,109445,297,7,43,69,BR,,,
482,109510,8,12,57,3,BR,,,
483,109581,75,5,15,7,BR,,,
484,109587,2227,140,418,59,BR,,,
485,109642,7,18,57,3,BR,,,
486,109643,0,11,5,3,BR,,,
487,109671,0,46,0,0,BR,,,
488,109690,3,12,32,1,BR,,,
489,109695,0,4,55,0,BR,,,
490,110008,0,4,16,0,BR,,,
491,110434,2,601,7,1,BR,87.0,904.0,313.0
492,113227,4,16,12,0,BR,,,
493,113249,2,38,75,56,BR,,,
494,115273,0,8,57,0,BR,,,
495,115855,8,7,59,25,BR,,,
496,118077,0,12,54,1,BR,,,
497,118315,16,1,65,152,AR,,,
498,118579,0,1,61,1,BR,,,
499,118580,0,9,17,0,BR,,,
500,118581,0,2,11,0,BR,,,
501,118693,0,8,56,0,BR,,,
502,118823,1,7,18,2,BR,,,
503,118837,1,79,105,16,AR,,,
504,119062,0,6,54,0,BR,,,
505,119124,0,1,10,0,BR,,,
506,119387,0,5,57,3,BR,,,
507,119401,0,6,57,0,BR,,,
508,119464,7,7,11,0,BR,,,
509,119647,1,60,52,1,BR,,,
510,120114,545,41,52,1,BR,,,
511,120527,76,11,27,2,BR,,,
512,121158,0,3,17,2,BR,,,
513,121251,1,2,54,0,BR,,,
514,121608,96,8,31,49,BR,,,
515,121613,361,25,80,7,BR,,,
516,121646,0,11,66,0,BR,,,
517,121717,0,20,57,2,BR,,,
518,121723,4,24,23,5,BR,,,
519,121886,17,5,14,15,BR,,,
520,121965,45,33,63,13,BR,,,
521,122020,12,7,10,10,BR,,,
522,122035,0,1,15,1,BR,,,
523,122036,0,5,23,0,BR,,,
524,122043,5,3,11,0,BR,,,
525,122045,15,5,103,10,BR,,,
526,122075,5,9,12,0,BR,,,
527,122150,0,5,50,14,BR,,,
528,122151,0,16,0,2,BR,,,
529,122153,25,34,60,0,BR,,,
530,122155,0,16,118,2,BR,,,
531,122162,0,7,20,0,BR,,,
532,122266,0,19,105,2,BR,,,
533,122529,0,6,58,3,BR,,,
534,122928,9,20,124,2,BR,,,
535,123925,6,10,17,1,BR,,,
536,124710,0,4,57,0,BR,,,
537,127428,695,55,47,5,CO,,,
538,127559,0,6,61,11,AR,,,
539,127661,36,5,69,2,BR,228.0,344.0,9168.0
540,127664,169,31,8,19,BR,48.0,122.0,2785.0
541,127703,41,1,84,35,BR,,,
542,127705,13,0,20,21,BR,,,
543,128085,0,8,13,0,BR,,,
544,128182,208,25,325,1,AR,,,
545,128416,1,15,11,0,BR,,,
546,128562,0,2,50,1,BR,,,
547,128745,0,4,3,3,BR,,,
548,129117,2429,123,754,50,BR,,,
549,129176,425,53,75,164,BR,,,
550,129233,434,12,52,16,BR,,,
551,129328,2,22,58,1,BR,,,
552,129362,104,16,90,79,BR,,,
553,129406,2,14,55,0,BR,,,
554,129618,0,4,14,0,BR,,,
555,129663,44,20,20,7,BR,,,
556,129667,173,13,33,2,BR,,,
557,129737,54,16,19,0,BR,,,
558,129772,0,6,15,0,BR,,,
559,129795,1,6,16,0,BR,,,
560,129902,101,19,65,81,BR,,,
561,129918,6,4,77,9,BR,,,
562,129979,887,33,62,6,BR,,,
563,129987,34,15,8,3,BR,,,
564,130225,3,36,4,17,BR,,,
565,130229,0,7,60,2,BR,,,
566,130282,1,25,116,52,BR,,,
567,130435,577,41,40,25,BR,,,
568,130623,101,28,19,21,BR,,,
569,130764,0,17,1,0,BR,,,
570,130945,84,10,66,3,BR,,,
571,131704,3,5,16,5,BR,,,
572,131705,4,29,113,1,BR,239.0,245.0,17563.0
573,131955,20,33,63,4,BR,,,
574,132027,4,1,11,15,BR,,,
575,132028,91,6,55,63,BR,,,
576,132035,136,24,32,69,BR,781.0,338.0,4561.0
577,132332,0,14,23,0,BR,,,
578,132482,423,12,142,25,BR,,,
579,132494,1,7,10,3,BR,,,
580,132514,16,15,150,41,BR,,,
581,132690,0,13,23,1,BR,,,
582,132768,0,7,1,0,BR,,,
583,132880,10,7,14,1,BR,,,
584,132889,0,16,0,3,BR,,,
585,133039,57,12,81,60,BR,78.0,90.0,470.0
586,133095,164,20,30,168,BR,,,
587,133116,9,8,76,13,BR,,,
588,133237,21,15,15,1,BR,,,
589,133280,1,4,4,2,BR,,,
590,133289,97,10,28,238,BR,,,
591,133524,0,6,60,3,BR,,,
592,133612,32,41,261,89,BR,,,
593,133660,136,6,0,31,BR,,,
594,133925,0,4,56,0,BR,,,
595,133992,14,1,59,24,BR,,,
596,134011,0,10,0,0,BR,,,
597,134344,59,3,11,1,BR,,,
598,134378,79,21,94,47,BR,,,
599,134909,70,4,92,48,BR,,,
600,134966,0,9,53,0,BR,,,
601,134984,500,21,344,207,BR,,,
602,135033,1,5,53,1,BR,,,
603,135401,1,39,176,0,BR,,,
604,135402,733,24,39,19,BR,,,
605,135484,195,37,227,1,BR,,,
606,135548,269,34,82,515,BR,,,
607,135813,51,10,51,32,BR,,,
608,135939,0,8,62,12,BR,,,
609,136090,0,2,12,0,BR,,,
610,136210,74,2,4,4,BR,,,
611,136279,74,33,114,20,BR,,,
612,136745,0,6,4,0,BR,,,
613,143171,15,6,69,123,BR,,,
614,143220,1,18,52,1,BR,,,
615,143346,1,18,83,3,BR,,,
616,143574,0,5,64,0,BR,,,
617,144066,62,13,46,74,BR,,,
618,144417,1,13,37,206,BR,,,
619,145592,20,33,114,50,BR,,,
620,145631,2006,175,18,586,BR,,,
621,146598,5,3,15,0,BR,,,
622,146911,0,3,65,3,BR,,,
623,147104,4,1,11,11,AR,,,
624,147147,1,1,51,2,AR,,,
625,148997,4,14,59,8,BR,,,
626,149034,1573,122,221,4,BR,,,
627,149296,30,6,96,88,AR,,,
628,149361,183,64,68,55,BR,,,
629,149586,18,9,7,17,BR,104.0,31.0,1422.0
630,149590,16,2,19,0,BR,,,
631,149631,2,19,17,0,BR,,,
632,149903,0,4,66,5,AR,,,
633,149966,26,7,204,728,BR,,,
634,150455,0,0,53,3,AR,,,
635,150721,0,14,9,0,BR,,,
636,151273,15,17,87,9,BR,,,
637,160602,1,12,14,0,BR,,,
638,160610,8204,136,61,8,BR,,,
639,160620,124,1,6,62,BR,,,
640,160648,0,2,1,0,BR,,,
641,160684,0,46,208,30,BR,,,
642,160685,16,25,101,10,BR,,,
643,160692,76,18,77,10,BR,,,
644,160704,252,20,71,0,BR,,,
645,160716,80,19,51,1,BR,,,
646,160729,44,7,46,10,BR,,,
647,160763,13,13,110,4,BR,,,
648,160795,0,10,67,12,BR,,,
649,160844,4,7,39,5,BR,,,
650,160856,84,30,243,220,BR,674.0,112.0,260.0
651,160875,0,5,13,0,BR,,,
652,160876,497,28,82,0,BR,,,
653,160879,0,9,16,0,BR,,,
654,161011,0,5,58,8,BR,,,
655,161105,699,29,14,165,BR,,,
656,161157,307,13,86,3,BR,,,
657,161168,6,6,66,7,BR,,,
658,161175,16,5,29,13,BR,,,
659,161199,22,18,58,9,BR,,,
660,161216,1,4,0,33,BR,,,
661,161225,31,17,65,27,BR,,,
662,161241,4,23,47,62,BR,,,
663,161248,0,15,49,0,BR,,,
